File,filename,X,Y,Color,Admiration,Adoration,Aesthetic_Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Concentration,Confusion,Contemplation,Contempt,Contentment,Craving,Desire,Determination,Disappointment,Disgust,Distress,Doubt,Ecstasy,Embarrassment,Empathic_Pain,Entrancement,Envy,Excitement,Fear,Guilt,Horror,Interest,Joy,Love,Nostalgia,Pain,Pride,Realization,Relief,Romance,Sadness,Satisfaction,Shame,Sympathy,Tiredness,Triumph
https://mturkrecord.s3.amazonaws.com/targpros/0041.mp3,0041.mp3,495,105,#A0719C,,,,,,,,,,0.16,0.133,,,,,,,0.212,,,,,,,,,,,,,,,,,,,,0.156,,,,0.111,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0042.mp3,0042.mp3,575,346,#9660D1,,,,,,,,,,,,,,,,,,0.144,,,,,,,,,,0.147,,,,,,,,,,0.159,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0043.mp3,0043.mp3,182,598,#5C43CC,,,,,,0.149,,,,,,,,,,,,,,,0.226,,,,,,,,0.22,,,,,,,0.283,,,,,0.325,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0044.mp3,0044.mp3,157,525,#635568,,,,,,0.228,,,,,,,,,,,,0.107,,,0.206,,,,,,,,0.338,,,,,,,0.135,,,,,0.151,,,,0.21,
https://mturkrecord.s3.amazonaws.com/targpros/0045.mp3,0045.mp3,301,510,#647A69,,,,,,0.133,,0.108,,0.157,,,,,,,,,,,0.118,0.142,,,,,,,0.144,0.106,,,,,,0.111,,,,,0.197,,,,0.15,
https://mturkrecord.s3.amazonaws.com/targpros/0046.mp3,0046.mp3,577,358,#3D9379,,,,0.1,,,,,,0.101,,,,,,,,0.118,,,,,,,,,,0.175,,,,,0.134,,,,,0.166,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0047.mp3,0047.mp3,530,103,#6F8278,,,,,0.116,,,,,0.209,0.145,,,,,,,0.206,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0048.mp3,0048.mp3,423,597,#C26093,,,,,,,,,,0.114,,0.332,,,,,,,,,,0.313,,,,,,,,,,,,,,,,0.125,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0049.mp3,0049.mp3,563,395,#35C74C,,,,,,,,,,,,,,,,,,0.102,,,0.102,,,,,,,0.223,,,,,0.122,,,,,0.14,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0050.mp3,0050.mp3,593,342,#AF59B4,,,,0.107,,,,,,0.136,,,,,,,,0.17,,,,,,,,,,0.124,,,,,0.109,,,,,0.151,,,,0.134,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0051.mp3,0051.mp3,214,609,#AA8697,,,,,,0.106,,,,0.112,,,,,,,,,,,0.159,,,,,,,,0.147,,,,,,,0.217,,,,,0.38,,,,0.104,
https://mturkrecord.s3.amazonaws.com/targpros/0052.mp3,0052.mp3,579,128,#4250BA,,,,,,,,,0.119,0.299,0.149,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,0.129,,,,,,,0.105,
https://mturkrecord.s3.amazonaws.com/targpros/0053.mp3,0053.mp3,582,151,#41629C,,,,,,,,,0.135,0.277,0.123,,,,,,,0.112,,,,,,,,,,,,,,,,,,,,0.126,,,0.114,,,,0.153,
https://mturkrecord.s3.amazonaws.com/targpros/0054.mp3,0054.mp3,594,424,#67E768,,,,0.214,,,,,,0.102,,,,,,,,,,,,,,,,,,0.165,,,,0.115,0.187,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0055.mp3,0055.mp3,441,151,#C76C38,,,,,0.256,,,,,0.142,0.14,,,0.115,,,,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0056.mp3,0056.mp3,487,172,#818C67,,,,,0.158,,,,,0.176,0.119,,,0.107,,,,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0057.mp3,0057.mp3,531,207,#3964BE,,,,,,,,,,0.279,0.124,,,,,,,0.152,,,,,,,,,,,,,,0.117,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0058.mp3,0058.mp3,598,458,#43F23E,,,,0.123,,,,,,,,,,,,,,0.137,,,,,,,,,,0.287,,,,0.129,0.152,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0059.mp3,0059.mp3,638,584,#63E96B,,,,0.347,,,,,,,,,,,,,,,,,,,,,,,,0.237,,,,0.116,0.35,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0060.mp3,0060.mp3,611,536,#58EC62,,,,0.244,,,,,,,,,,,,,,,,,,,,,,,,0.229,,,,,0.275,,,,,0.108,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0061.mp3,0061.mp3,429,302,#7F6FBA,,,,,,0.148,,,,0.122,,,,,,,,0.143,,,0.129,,,,,,,,0.181,,,,,,,,,0.105,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0062.mp3,0062.mp3,145,566,#6B50B9,,,,,,0.185,,,,,,,,,,,,,,,0.246,,,,,,,,0.432,,0.161,,,,,0.216,,,,,0.33,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0063.mp3,0063.mp3,237,597,#596B89,,,,,,,,,,0.161,,,,,,,,,,,0.112,,,,,,,,0.107,,,,,,,0.18,,,,,0.307,,,,0.128,
https://mturkrecord.s3.amazonaws.com/targpros/0064.mp3,0064.mp3,562,398,#3BBD57,,,,,,,,,,,,,,,,,,,,,0.113,,,,,,,0.193,,,,,0.131,,,,,0.132,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0065.mp3,0065.mp3,574,352,#3ABC69,,,,,,,,,,,,,,,,,,0.135,,,,,,,,,,0.182,,,,,0.107,,,,,0.174,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0066.mp3,0066.mp3,201,562,#7756BE,,,,,,0.145,,,,,,,,,,,,,,,0.187,,,,,,,,0.237,,,,,,,0.156,,,,,0.223,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0067.mp3,0067.mp3,612,357,#8A56D0,,,,0.148,,,,,,0.179,,,,,,,,0.106,,,,,,,,,,0.11,,,,,0.168,,,,,0.124,,,,0.119,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0068.mp3,0068.mp3,565,395,#37C44F,,,,0.112,,,,,,,,,,,,,,0.116,,,0.1,,,,,,,0.209,,,,,0.138,,,,,0.137,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0069.mp3,0069.mp3,603,280,#8C37C4,,,,,,,,,,0.167,,,,,,,,0.1,,,,,,,,,,,,,,,0.1,,,,,0.152,0.12,,,0.13,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0070.mp3,0070.mp3,233,591,#B189A6,,,,,,,,,,0.114,,,,,,,,0.103,,,0.149,,,,,,,,0.13,,,,,,,0.193,,,,,0.291,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0071.mp3,0071.mp3,245,588,#4B669C,,,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,0.136,,,,,0.237,,,,0.112,
https://mturkrecord.s3.amazonaws.com/targpros/0072.mp3,0072.mp3,635,562,#67E76C,,,,0.294,,,,,,0.133,,,,,,,,0.1,,,,,,,,,,0.197,,,,0.142,0.264,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0073.mp3,0073.mp3,310,129,#FE4A16,,,,,0.406,,,,,,0.11,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0074.mp3,0074.mp3,632,417,#8DDB4A,,,,0.154,,,,,,0.135,,,,,,,,0.176,,,,,,,,,,0.18,,,,0.162,0.13,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0075.mp3,0075.mp3,638,552,#5BEB64,,,,0.259,,,,,,0.116,,,,,,,,0.101,,,,,,,,,,0.237,,,,0.161,0.256,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0076.mp3,0076.mp3,293,126,#FE4C15,,,,,0.44,,,,,,0.12,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0077.mp3,0077.mp3,363,192,#FD6032,,,,,0.22,0.109,,,,,,,,,,,,0.164,,,0.134,,,,,,,,,,,,,,,,,0.111,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0078.mp3,0078.mp3,564,309,#7E7779,,,,,,0.104,,,,0.144,,,,,,,,0.158,,,,,,,,,,0.114,,,,,,,,,,0.14,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0079.mp3,0079.mp3,606,144,#694C81,,,,,,,,,0.127,0.265,0.112,,,,,,0.111,0.125,,,,,,,,,,,,,,,,,,,,0.11,,,,0.112,,,0.146,
https://mturkrecord.s3.amazonaws.com/targpros/0080.mp3,0080.mp3,486,109,#A38D55,,,,,0.12,,,,,0.128,0.101,,,,,,,0.207,,,,,,,,,,0.113,,,,,,,,,,0.145,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0081.mp3,0081.mp3,567,312,#743BC7,,,,,,,,,,0.164,,,,,,,,0.146,,,,,,,,,,0.129,,,,,,,,,,0.139,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0082.mp3,0082.mp3,214,605,#A883CC,,,,,,0.112,,,,0.11,,,,,,,,,,,0.154,,,,,,,,0.177,,,,,,,0.202,,,,,0.339,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0083.mp3,0083.mp3,592,132,#4354AA,,,,,,,,,0.159,0.334,0.122,,,,,,,0.127,,,,,,,,,,,,,,,,,,,,0.128,,,,,,,0.133,
https://mturkrecord.s3.amazonaws.com/targpros/0084.mp3,0084.mp3,647,546,#59EE72,,,,0.238,,,,,,0.132,,,,,,,,,,,,,,,,,,0.247,,,,0.19,0.3,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0085.mp3,0085.mp3,432,153,#D25A2D,,,,,0.296,,,,,0.119,0.141,,,0.11,,,,0.241,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0086.mp3,0086.mp3,466,198,#9BB059,,,,,0.144,,,,,0.148,0.11,,,,,,,0.199,,,,,,,,,,,,,,0.133,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0087.mp3,0087.mp3,296,99,#E43515,,,,,0.413,,,,,0.107,0.135,,,0.174,,,,0.217,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0088.mp3,0088.mp3,411,191,#FE491C,,,,,0.316,0.109,,,,,,,,,,,,0.184,,,0.12,,,,,,,,,,,,,,,0.128,,,,,0.114,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0089.mp3,0089.mp3,204,574,#554DC2,,,,,,0.155,,,,,,,,,,,,,,,0.179,,,,,,,,0.205,,,,,,,0.214,,,,,0.253,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0090.mp3,0090.mp3,749,283,#C46D89,,,,0.208,,,,,,0.138,,,,,,,0.363,,,,,,,,,,,0.173,,,,0.209,0.155,0.139,,,,,,0.325,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0091.mp3,0091.mp3,633,437,#6AEB6B,,,,0.132,,,,,,0.116,,,,,,,,0.135,,,,,,,,,,0.22,,,,0.155,0.187,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0092.mp3,0092.mp3,478,191,#915A8B,,,,,0.125,,,,,0.181,0.111,,,,,,,0.172,,,,,,,,,,,,,,0.109,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0093.mp3,0093.mp3,177,648.1,#6C4EC7,,,,,,0.132,,,,,,,,,,,,,,,0.217,,,,,,,,0.224,,,,,,,0.324,,,,,0.543,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0094.mp3,0094.mp3,687,246,#664F7E,,,,,,,,,0.128,0.235,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,
https://mturkrecord.s3.amazonaws.com/targpros/0095.mp3,0095.mp3,365,175,#FD6B28,,,,,0.239,,,,,,,,,,,,,0.205,,,0.103,,,,,,,,,,,,,,,,,0.116,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0096.mp3,0096.mp3,160,588,#7657B8,,,,,,0.16,,,,,,,,,,,,,,,0.206,,,,,,,,0.314,,0.105,,,,,0.221,,,,,0.375,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0097.mp3,0097.mp3,565,346,#8A7B93,,,,,,,,,,0.102,,,,,,,,0.147,,,,,,,,,,0.147,,,,,,,,,,0.145,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0098.mp3,0098.mp3,174,637.8,#6B4DC8,,,,,,0.138,,,,,,,,,,,,,,,0.227,,,,,,,,0.246,,,,,,,0.294,,,,,0.504,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0099.mp3,0099.mp3,564,400,#32CC46,,,,0.109,,,,,,,,,,,,,,,,,0.105,,,,,,,0.246,,,,,0.142,,,,,0.127,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0100.mp3,0100.mp3,376,124,#CE7331,,,,,0.224,,,,,0.119,0.129,,,,,,,0.254,,,,,,,,,,,,,,,,,,,,0.117,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0101.mp3,0101.mp3,376,180,#FD8032,,,,,0.194,,,,,,,,,,,,,0.202,,,,,,,,,,0.122,,,,,,,,,,0.132,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0102.mp3,0102.mp3,329,171,#FE381D,,,,,0.372,0.107,,,,,,,,,,,,0.163,,,0.139,,,,,,,0.121,,,,,,,,,,0.112,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0103.mp3,0103.mp3,578,231,#5A7686,,,,,,,,,,0.202,0.116,,,,,,,0.161,,,,,,,,,,,0.108,,,,,,,,,0.105,,,0.11,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0104.mp3,0104.mp3,570,335,#AAAB6D,,,,,0.127,,,,,,,,,,,,,0.178,,,,,,,,,,0.154,,,,,,,,,,0.163,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0105.mp3,0105.mp3,329,472,#3681AC,,,,,,0.107,,,,0.123,,0.115,,,,,,0.135,,,,0.116,,,,,,,,,,,,,,,,0.148,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0106.mp3,0106.mp3,373,203,#BD4C61,,,,,0.199,,,,,,,,,,,,,0.146,,,0.115,,,,,,,0.153,,,,,,,,,,0.146,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0107.mp3,0107.mp3,410,326,#78B13D,,,,,0.148,0.121,,,,,,,,,,,,0.105,,,0.146,,,,,,,0.19,0.101,,,,,,,,,0.122,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0108.mp3,0108.mp3,570,320,#91A574,,,,,,,,,,0.122,0.112,,,,,,,0.174,,,,,,,,,,0.107,,,,,,,,,,0.194,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0109.mp3,0109.mp3,320,488,#7767B8,,,,,,0.112,,0.105,,0.176,,0.155,,,,,,0.102,,,,0.169,,,,,,,,,,,,,,,,0.129,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0110.mp3,0110.mp3,682,240,#5C5382,,,,,,,,,0.148,0.281,0.103,,,,,,,0.107,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161,
https://mturkrecord.s3.amazonaws.com/targpros/0111.mp3,0111.mp3,394,236,#FE5A24,,,,,0.256,0.12,,,,,,,,,,,,0.184,,,0.129,,,,,,,0.153,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0112.mp3,0112.mp3,497,172,#687F81,,,,,0.152,,,,,0.235,0.15,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0113.mp3,0113.mp3,211,578,#997665,,,,,,0.138,,,,0.14,,,,,,,,,,,0.162,,,,,,,,0.226,,,,,,,0.172,,,,,0.273,,,,0.121,
https://mturkrecord.s3.amazonaws.com/targpros/0114.mp3,0114.mp3,505,221,#869099,,,,,,,,,,0.21,0.127,,,,,,,0.198,,,,,,,,,,0.114,,,,0.152,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0115.mp3,0115.mp3,704,244,#81496A,,,,,,,,,0.173,0.273,,,,,,,0.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226,
https://mturkrecord.s3.amazonaws.com/targpros/0116.mp3,0116.mp3,483,159,#6A7F79,,,,,0.151,,,,,0.191,0.127,,,,,,,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0117.mp3,0117.mp3,184,621,#9E7CBB,,,,,,0.143,,,,,,,,,,,,,,,0.182,,,,,,,,0.215,,,,,,,0.258,,,,,0.441,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0118.mp3,0118.mp3,246,561,#736CBC,,,,,,0.14,,,,0.127,,,,,,,,0.123,,,0.145,,,,,,,,0.173,,,,,,,0.116,,,,,0.171,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0119.mp3,0119.mp3,599,543,#64E973,,,,0.231,,,,,,0.111,,,,,,,,,,,,,,,,,,0.174,,,,,0.266,,,,,,,,,0.1,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0120.mp3,0120.mp3,436,575,#BE608C,,,,,,,,,,0.127,,0.221,,,,,,0.111,,,,0.208,,,,,,,,,,,,,,,,0.111,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0121.mp3,0121.mp3,480,102,#E18E44,,,,,0.15,,,,,0.107,0.115,,,,,,,0.25,,,,,,,,,,0.119,,,,,,,,,,0.155,,,,,,,,
https://mturkrecord.s3.amazonaws.com/targpros/0122.mp3,0122.mp3,191,623.9,#D08EA9,,,,,,0.111,,,,,,,,,,,,,,,0.178,,,,,,,,0.16,,,,,,,0.26,,,,,0.461,,,,,
